0.0	0.0	841.0	6.3063	29.0	16.0	1.0	2.56	7.0	1.0
0.0	0.0	729.0	6.1759	27.0	9.0	0.0	0.81	12.0	1.0
0.0	0.0	1156.0	6.5806	34.0	16.0	0.0	2.56	12.0	1.0
1.0	0.0	729.0	5.5215	27.0	10.0	0.0	1.0	11.0	1.0
1.0	0.0	1156.0	6.5917	34.0	16.0	0.0	2.56	12.0	1.0
1.0	0.0	676.0	6.2146	26.0	8.0	0.0	0.64	12.0	1.0
1.0	0.0	1089.0	6.3368	33.0	9.0	0.0	0.81	18.0	1.0
1.0	0.0	841.0	6.4102	29.0	9.0	0.0	0.81	14.0	1.0
1.0	0.0	784.0	6.0521	28.0	10.0	0.0	1.0	12.0	1.0
1.0	0.0	841.0	6.2442	29.0	11.0	0.0	1.21	12.0	1.0
1.0	0.0	784.0	5.4161	28.0	13.0	0.0	1.69	9.0	1.0
1.0	0.0	676.0	5.9915	26.0	8.0	0.0	0.64	12.0	1.0
1.0	0.0	576.0	6.0331	24.0	7.0	0.0	0.49	11.0	1.0
1.0	0.0	900.0	5.3799	30.0	13.0	0.0	1.69	11.0	1.0
1.0	0.0	961.0	6.7957	31.0	9.0	1.0	0.81	16.0	1.0
1.0	0.0	576.0	5.7038	24.0	4.0	0.0	0.16	14.0	1.0
1.0	0.0	1156.0	5.8464	34.0	16.0	0.0	2.56	12.0	1.0
1.0	0.0	841.0	6.4892	29.0	9.0	0.0	0.81	14.0	1.0
1.0	0.0	676.0	6.3544	26.0	10.0	0.0	1.0	10.0	1.0
1.0	0.0	1024.0	6.4754	32.0	14.0	0.0	1.96	12.0	1.0
1.0	1.0	1024.0	6.8501	32.0	8.0	0.0	0.64	18.0	1.0
1.0	0.0	1156.0	6.42	34.0	10.0	0.0	1.0	18.0	1.0
1.0	0.0	1024.0	6.5876	32.0	11.0	0.0	1.21	15.0	0.0
1.0	0.0	784.0	6.4036	28.0	10.0	0.0	1.0	12.0	1.0
1.0	0.0	1024.0	6.541	32.0	14.0	0.0	1.96	12.0	1.0
1.0	0.0	1156.0	7.2442	34.0	10.0	0.0	1.0	18.0	0.0
1.0	0.0	676.0	5.7038	26.0	8.0	0.0	0.64	12.0	1.0
1.0	0.0	1024.0	7.4955	32.0	8.0	0.0	0.64	18.0	1.0
1.0	0.0	625.0	6.0234	25.0	7.0	0.0	0.49	12.0	1.0
1.0	0.0	841.0	6.4489	29.0	9.0	0.0	0.81	14.0	0.0
1.0	0.0	625.0	5.3375	25.0	7.0	0.0	0.49	12.0	1.0
1.0	0.0	625.0	6.1247	25.0	7.0	1.0	0.49	12.0	1.0
1.0	0.0	576.0	6.7142	24.0	2.0	0.0	0.04	16.0	1.0
1.0	0.0	1156.0	6.3578	34.0	10.0	0.0	1.0	18.0	1.0
1.0	0.0	784.0	5.5413	28.0	11.0	0.0	1.21	11.0	1.0
1.0	0.0	900.0	6.869	30.0	8.0	0.0	0.64	16.0	1.0
1.0	0.0	961.0	6.8501	31.0	15.0	0.0	2.25	10.0	1.0
1.0	0.0	1156.0	7.044	34.0	10.0	0.0	1.0	18.0	1.0
1.0	0.0	729.0	5.7807	27.0	15.0	0.0	2.25	6.0	1.0
1.0	0.0	576.0	5.4596	24.0	7.0	1.0	0.49	11.0	1.0
1.0	0.0	1156.0	6.9078	34.0	16.0	0.0	2.56	12.0	1.0
1.0	0.0	676.0	6.1759	26.0	11.0	0.0	1.21	9.0	1.0
1.0	0.0	1024.0	6.4362	32.0	11.0	0.0	1.21	15.0	1.0
1.0	0.0	1156.0	6.477	34.0	17.0	0.0	2.89	11.0	1.0
1.0	0.0	576.0	5.8406	24.0	6.0	1.0	0.36	12.0	1.0
1.0	1.0	576.0	5.9402	24.0	2.0	0.0	0.04	16.0	1.0
1.0	0.0	576.0	5.8665	24.0	6.0	0.0	0.36	12.0	1.0
